"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk"
"278","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(39.6,3555]","(547,4491]","[1,8.06]","(44.34,170]","[1,9.82]"
"279","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"280","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"281","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(178,843]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"282","[1.61,39.52]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"283","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"284","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"285","[1.61,39.52]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"286","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"287","[1.61,39.52]","[1,15.1]","(24.8,167]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","(35.9,343]"
"288","(39.52,74.3]","(24.8,389]","(24.8,167]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(192.2,547]","[1,8.06]","(44.34,170]","[1,9.82]"
"289","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"290","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"291","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"292","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"293","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(178,843]","(45.3,764]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"294","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"295","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(178,843]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"296","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","[1.53,25]","(9.82,35.9]"
"297","[1.61,39.52]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"298","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"299","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"300","[1.61,39.52]","[1,15.1]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"301","(39.52,74.3]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","[1,9.82]"
"302","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"303","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"304","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","[1,8.06]","[1.53,25]","(35.9,343]"
"305","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(178,843]","(18.88,45.3]","(15.32,25.3]","[1.7,23.5]","(192.2,547]","[1,8.06]","(44.34,170]","[1,9.82]"
"306","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"307","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"308","(39.52,74.3]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"309","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"310","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(35.9,343]"
"311","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","(15.32,25.3]","(39.6,3555]","(192.2,547]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"312","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","[1,9.82]"
"313","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"314","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"315","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"316","(39.52,74.3]","(24.8,389]","(24.8,167]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"317","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"318","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"319","(39.52,74.3]","(24.8,389]","[1,10.8]","(178,843]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"320","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"321","[1.61,39.52]","[1,15.1]","(24.8,167]","(23.3,178]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"322","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"323","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"324","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"325","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"326","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"327","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","[1,8.06]","[1.53,25]","[1,9.82]"
"328","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"329","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"330","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"331","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","[1,9.82]"
"332","[1.61,39.52]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","(35.9,343]"
"333","[1.61,39.52]","[1,15.1]","(24.8,167]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"334","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","(15.32,25.3]","(39.6,3555]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"335","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"336","(39.52,74.3]","[1,15.1]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"337","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"338","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"339","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"340","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"341","(39.52,74.3]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"342","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"343","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"344","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","(25,44.34]","(35.9,343]"
"345","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"346","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","(39.6,3555]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"347","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"348","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"349","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"350","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(178,843]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"351","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"352","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(178,843]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","[1,9.82]"
"353","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"354","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(44.34,170]","(35.9,343]"
"355","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","(44.34,170]","(9.82,35.9]"
"356","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","(25,44.34]","(35.9,343]"
"357","(39.52,74.3]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"358","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"359","(39.52,74.3]","(24.8,389]","[1,10.8]","(178,843]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"360","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"361","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"362","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"363","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","(25,44.34]","(35.9,343]"
"364","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"365","[1.61,39.52]","[1,15.1]","(24.8,167]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"366","(39.52,74.3]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","[1,8.06]","[1.53,25]","(35.9,343]"
"367","(74.3,552]","(24.8,389]","(24.8,167]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"368","[1.61,39.52]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","[1.53,25]","(9.82,35.9]"
"369","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"370","[1.61,39.52]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"371","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"372","[1.61,39.52]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","[1,9.82]"
"373","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"374","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"375","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"376","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"377","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"378","[1.61,39.52]","(24.8,389]","(10.8,24.8]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"379","[1.61,39.52]","(24.8,389]","(24.8,167]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","[1,9.82]"
"380","[1.61,39.52]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"381","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","[1,9.82]"
"382","[1.61,39.52]","[1,15.1]","(24.8,167]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"383","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","(44.34,170]","[1,9.82]"
"384","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"385","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","(25,44.34]","(9.82,35.9]"
"386","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"387","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"388","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"389","(39.52,74.3]","(24.8,389]","[1,10.8]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"390","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"391","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"392","(39.52,74.3]","(24.8,389]","[1,10.8]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"393","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","(35.9,343]"
"394","(39.52,74.3]","[1,15.1]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"395","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"396","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"397","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"398","[1.61,39.52]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(16.58,106]","(25,44.34]","[1,9.82]"
"399","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"400","[1.61,39.52]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"401","[1.61,39.52]","(15.1,24.8]","(24.8,167]","[1.11,23.3]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(35.9,343]"
"402","(39.52,74.3]","(24.8,389]","(24.8,167]","[1.11,23.3]","(45.3,764]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"403","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"404","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"405","[1.61,39.52]","[1,15.1]","(24.8,167]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"406","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"407","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"408","[1.61,39.52]","[1,15.1]","(24.8,167]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"409","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(178,843]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"410","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"411","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"412","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"413","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"414","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"415","(74.3,552]","(24.8,389]","(24.8,167]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
